@relation waveform
@attribute x0 real
@attribute x1 real
@attribute x2 real
@attribute x3 real
@attribute x4 real
@attribute x5 real
@attribute x6 real
@attribute x7 real
@attribute x8 real
@attribute x9 real
@attribute x10 real
@attribute x11 real
@attribute x12 real
@attribute x13 real
@attribute class {-,+}
@data
1.34,4.62,3.8,4.23,4.38,1.99,1.73,2.12,0.16,1.97,3.22,0.83,1.87,1.38,+
3.78,3.89,5.03,5.55,3.58,3.08,1.16,2.69,0.15,0.25,0.44,1.45,-0.43,1.07,+
-1.18,0.9,2.74,0.37,-0.24,2.14,2.67,3.36,3.71,3.47,4.09,3.94,2.7,2.79,+
1.84,1.51,1.9,2.45,2.48,1.31,2.45,3.57,1.62,2.56,3.73,2.36,2.39,3.07,+
2.94,3.15,4.18,3.7,3.13,1.82,1.93,1.62,1.55,-0.33,3.52,0.95,0.83,2.85,+
2.64,3.6,2.91,3.01,2.47,1.48,1.03,1.42,1.28,2.48,2.77,1.13,2.36,1.95,+
-0.07,1.63,0.16,1.29,1.13,0.37,1.53,0.77,4.61,7.18,4.75,4.95,3.4,3.04,+
-0.64,-0.04,1.19,0.99,-1.48,1.54,1.37,2.85,2.68,4.82,6.76,4.23,5.37,2.67,+
0.59,-0.12,1.1,2.08,0.89,1.7,0.81,2.61,3.15,4.48,6.46,5.85,2.3,1.95,+
2.87,4.67,5.23,4.46,4.81,2.07,0.9,1.4,0.84,-0.62,0.82,0.87,0.66,0.25,+
4.7,5.79,4.39,4.25,4.33,2.54,1.54,2.83,0.72,0.97,0.91,-1.18,-0.73,0.65,+
3.11,2.95,4.69,4.22,3.41,2.76,0.78,0.23,1.67,2.53,1.93,1.12,-0.18,1.18,+
-0.86,2.86,1.25,3.21,-1.37,1.36,0.88,2.58,4.34,4.24,4.15,5.68,2.94,2.67,+
0.99,3,3.36,4.02,2.21,1.97,1.38,2.16,0.69,1.67,1.56,0.06,-0.95,0.62,+
-0.58,2.18,1.28,2.01,1.38,1,2.33,4.15,3.32,4.09,3.82,3.88,3.63,2.69,+
1.82,1.81,4.99,1.67,3.3,0.73,1.86,2.02,1.56,1.6,1.58,0.38,0.59,0.16,+
4.37,2.79,4.08,4.71,2.01,3.02,1.99,0.34,1.21,0.06,2.51,-0.04,0.81,-0.47,+
4.1,3.71,5.79,4.07,1.6,2.49,0.39,2.1,0.59,0.7,0.96,1.93,0.42,-0.22,+
4.99,4.83,6.93,5.03,2.87,2.11,2.3,0.61,0.75,0.43,-0.91,-0.85,0.26,0.61,+
1.31,3.13,3.78,3.2,1.1,0.91,1.14,2.63,2.76,1.86,2.04,4.24,1.51,2.54,+
1.44,2.96,5.41,1.16,2.94,0.5,2.9,2.68,2.55,3.38,2.29,2.39,1.54,-0.06,+
2.9,4.61,6.36,2.43,4.2,1.3,3.12,0.82,2.18,1.31,0.55,0.32,0.74,0.68,+
2.49,2.11,2.89,0.33,1.79,1.18,2.18,1.51,4.91,3.24,4.2,4.35,3.15,2.1,+
4.65,1.17,6.28,2.98,4.99,3.31,1.12,1.08,0.34,-0.09,0.75,1.31,0.23,0.39,+
2.25,3.61,5.53,5.38,3.76,3.78,0.93,1.53,0.06,2.92,2.38,2.01,-0.17,1.08,+
2.13,2.14,3.49,4.26,2.71,4.17,1.16,1.67,0.09,2.13,0,0.28,1.85,1.12,+
0.77,2.58,2.62,1.51,4.61,1.67,1.14,1.74,1.8,2.37,2.21,3.38,1.37,1.83,+
2.83,6.75,3.24,4.42,1.81,1.62,0.97,2.43,1.49,2.61,0.22,0.1,-0.01,0.68,+
3.24,2.01,0.27,1.61,0.95,2.05,3.02,1.45,2.2,4.2,3.97,4.71,3.87,2.03,+
1.99,0.24,1.82,1.86,1.04,1.45,1.38,2.94,2.38,5.53,2.66,2.77,3.38,-0.39,+
0.05,-0.62,0.31,-1.85,-1.1,1.03,2.48,3.76,3.84,3.72,4.3,3.42,2.3,3.09,+
1.3,1.8,2.84,2.1,2.2,2.68,1.11,0.57,1.86,1.75,3.6,2.24,2.79,2.32,+
1.47,3.12,3.56,1.96,2.17,4.36,0.8,1.51,0.98,1.56,0.65,0.82,1.28,0.08,+
1.65,0.58,3.58,2.11,2.77,3,2.92,1.74,1.48,4.25,3.21,4.16,2.47,1.52,+
2.16,3.37,5.6,3.8,3.02,2.34,0.86,1.8,0.81,1.18,1.31,-0.7,0.21,-0.23,+
3.36,3.78,5.86,2.7,2.79,3.04,2.19,0.66,0.37,-0.58,1.97,1.09,0.63,0.58,+
4.43,5.11,5.56,4.98,1.63,2.53,2.36,0.81,0.89,0.43,0.35,0.98,1.05,1.61,+
2.61,3.76,4.41,4.13,1.78,3.66,1.1,2.04,0.96,1.56,3.54,0.66,3.4,1.66,+
0.31,0.86,3.13,2.69,2.09,2.09,2.43,2.39,3.84,2.58,2.85,-0.1,1.07,2.05,+
-0.13,1.07,0.7,1.47,1.76,1.38,1.93,2.96,3.11,4.81,5.43,4.63,4.69,3.34,+
1.31,1.68,0.37,2.79,1.99,1.35,2.6,2.11,2.95,1.76,3.46,4.03,1.37,0.44,+
1.98,-1.84,2.02,0.44,0.88,-0.97,4.25,2.71,2.85,4.65,4.11,4.87,4.84,3.78,+
1.67,2.79,1.51,1.08,2.28,1.46,4.09,2.09,2.89,3.88,3.46,3.58,2.26,2.39,+
0.19,-0.78,-1.03,0.17,0.31,1.6,2.46,3.93,5.23,6.44,6.27,4.71,5,4.48,+
2.26,5.98,5.72,4.28,3.79,5.22,1.33,1.72,2.29,2.48,1.15,0.32,2.6,1.13,+
3.05,1.49,-0.21,-0.4,0.53,0.96,2.04,3.34,4.07,4.39,6.26,4.86,2.94,5.29,+
0.83,2.56,2.64,2.93,1.27,2.26,3.5,2.48,3.29,3.66,3.03,4.47,2.68,0.29,+
2.41,3.49,4.61,1.79,1.31,2.24,2.61,3.76,2.08,2.46,3.25,2.92,3.62,1.14,+
-1.1,2.4,0.11,0.59,0.99,0.81,0.56,1.35,1.96,4.78,4.33,4.67,2.07,1.74,+
2.24,1.58,-0.29,-0.47,0.8,0.66,1.6,1.5,1.79,4.23,5.08,3.77,3.28,2.44,+
1.18,2.29,3.73,1.97,1.92,2.25,2.38,2.98,2.87,1.38,2.93,3.83,1.89,2.3,+
0.69,2.12,3.17,1.21,3.07,0.39,5.13,3.73,3.32,2.52,3.93,0.57,0.57,0.98,+
3.43,4.2,6.23,4.64,4.41,1.98,1.13,1,-0.43,-0.9,0.45,-0.56,0.79,0.27,+
1.55,4.09,2.32,1.61,2.68,2.13,2.41,1,3.37,3.61,5.16,2.01,1.48,1.55,+
1.45,3.25,2.2,5.79,3.37,1.09,2.75,1.59,1.47,2.46,-0.48,0.98,1.22,2.32,+
1.92,2.81,2.65,3.49,0.47,1.39,1.12,1.65,0.59,2.49,2.36,2.72,1.48,2.07,+
2.08,1.62,3.6,3.46,3.72,-0.57,2.35,2.39,2.01,2.58,3.6,0.51,2.35,1.54,+
-0.26,2.71,2.32,0.2,-0.34,1.62,1.58,2.7,2.76,4.11,5.34,4.35,1.94,3.68,+
4.17,4.42,3.8,4.08,3.96,3.86,1.95,-0.54,-0.51,0.41,0.68,1.32,1.1,1.62,+
2.59,2.81,1.21,2.24,0.13,2.92,1.65,2.48,2.91,3.91,3.86,3.11,0.69,3.01,+
0.21,1.36,1.3,0.77,1.12,2.31,3.39,0.47,4.72,5.78,5.77,4.67,5.47,2.4,+
-0.28,-1.77,-0.47,0.52,1.1,0.97,3.56,2.39,3.83,2.9,3.14,3.45,4.18,3.46,+
3.41,5.66,4.16,4.74,3.22,1.63,0.88,0.69,0.31,0.61,1.97,-0.32,0.17,-0.65,+
0.6,0.72,2.27,2.52,1.68,1.4,1.07,2.83,3.13,3.42,5.4,5.7,3.58,2.65,+
1.64,2.76,4.67,1.52,4.57,1.61,0.97,2.95,1.54,2.41,2.46,2,-0.37,3.76,+
-0.76,-1.01,-0.12,-0.83,-0.56,0.38,2.04,0.14,4.06,4.55,5.08,3.98,4.81,2.3,+
1.77,1.09,1.42,-0.74,-0.06,4.25,3.68,1.98,2.4,3.53,4.02,2.76,1.78,0.57,+
4.67,4.03,5.57,4.7,3.71,3.56,3.32,-0.1,1.33,0.06,1.13,0.76,-0.3,-1.56,+
3.34,2.52,5.49,1.99,3.93,2.64,2.48,0.6,2.83,0.35,2.89,2.25,2.04,0.58,+
1.92,3.11,5.02,2.01,1.26,3.32,1.39,0.92,1.93,4.33,3.08,3.17,1.12,1.24,+
0.5,0.63,3.29,2.84,2.33,1.8,4.44,2.86,3.83,3.67,4.12,4.41,3.07,2.47,+
1.7,3.23,4,3.16,1.17,2.71,2.31,0.02,0.68,0.6,2.6,3.37,2.77,1.25,+
1.05,1.59,1.77,2.67,2.53,2.86,-0.03,1.89,2.5,3.09,1.68,2.25,2.28,0.42,+
2.86,1.58,2,1.4,1.99,2.05,3.02,2.45,4.82,2.32,1.51,2.34,2.76,-0.32,+
2.4,3.2,0.31,2.26,4.24,1.52,2.17,0.49,2.56,3.83,2.89,3.46,-0.28,0.78,+
0.35,-0.04,1.18,0.61,0.25,2.27,4.5,3.41,4.34,5.22,4.44,4.13,4.28,3.91,+
3.04,4.67,5.13,4.18,3.78,2.72,1.4,1.61,0.23,0.87,1.63,0.38,0.91,0.95,+
1.05,1.85,1.71,1.82,1.88,2.76,2.74,1.62,1.6,2.31,3.61,3.03,3.28,2.2,+
-0.75,-1.27,-0.72,-0.55,-0.63,1.63,1.56,1.75,5.08,4.95,6.38,3.84,4.08,4.33,+
1.84,1.8,1.15,0.13,-0.1,3.54,0.44,3.72,2.85,3.48,3.16,4.55,0.75,1.85,+
2.24,5.63,3.01,4.11,2.62,1.69,4.18,2.22,1.61,0.38,0.75,2.44,1.55,1.35,+
2.5,5.18,6.04,2.01,4.46,2.25,2.42,0.1,1.57,2.03,-0.34,3.65,-0.02,1.49,+
2.33,2.64,1.24,1.18,1.09,2.48,4.12,3.45,4.41,3.67,5.26,3.85,5.44,3.22,+
2.86,3.58,3.7,4.7,3.78,0.7,3.23,0.21,1.14,3.09,2.17,2.54,2.09,1.84,+
3.69,5.68,6.61,4.88,3.78,4,4.31,0.01,-1.3,1.05,-0.69,0.57,0.17,-1.79,+
3.18,3.4,2.26,2.7,1.12,0.88,0.64,1.5,1.31,2.44,0.49,1.18,1.78,-0.15,+
2.17,2.42,5.05,2.69,3.15,4.21,3.44,1.15,1.22,3.18,0.74,1.64,2.32,-0.56,+
3.52,4.04,6.66,5.29,4.88,5.21,1.38,1.36,1.02,-0.53,0.51,-0.01,0.1,0.6,+
1.95,0.77,2.01,0.97,0.89,0.46,0.09,3.25,2.34,4.31,4.99,5.88,3.96,1.49,+
1.66,2.54,2.62,2.11,2.66,0.68,2.66,2.32,1.54,1.8,3.22,3.42,0.33,2.47,+
2.45,3.76,4.96,2.97,1.42,3.81,2.6,0.29,-0.44,0.91,0.53,1.34,0.87,0.15,+
1.45,2.97,3.68,1.61,0.06,-0.62,3.1,1.15,2.77,4.24,4.46,3.13,2.28,1.85,+
3.35,4.25,6.09,6.94,3.53,2.9,-0.19,0.2,0.78,1.43,-0.21,1.65,0.31,0,+
3.89,2.38,3.8,4.87,3.73,3.34,1.71,1.94,1.26,2.47,1.9,3.29,1.63,0.5,+
-0.87,0.83,1.03,-0.41,1.71,1.31,2.45,3.2,3.28,5.01,4.45,3.83,3.8,2.56,+
2.6,0.43,1.35,3.82,0.12,0.96,1.13,1.6,1.47,0.72,3.86,1.59,1.68,1.43,+
1.89,1.95,4.14,0.66,1.06,0.48,2.93,2.55,0.96,3.21,3.86,2.91,0.07,-0.55,+
3.29,4.21,4.52,5.27,2.79,3.37,1.36,-0.58,-0.13,0.03,0.74,1.82,0.51,-0.13,+
3.83,4.55,5.95,5.3,3.91,1.79,2.41,2.47,1.36,2,0.33,1.88,1.78,0.64,+
0.22,1.6,0.15,1.34,0.87,-0.58,1.61,2.8,4.31,4.96,5.13,3.14,1.05,1.77,+
2.38,4.75,2.23,3.44,3.41,2.57,2.85,0.77,2.46,2.34,2.44,2.53,2.55,0.91,+
2.68,4.71,4.08,4.62,3,4.65,3.9,2.52,1.2,1.45,-0.86,-0.15,0.17,1.31,+
3.42,2.18,3.49,3.39,2.6,0.82,1.82,-0.01,0.75,2.23,0.56,2.07,1.92,1.45,+
1.4,0.9,0.92,0.36,0.43,0.51,2.62,3.11,4.53,5.79,4.42,4.45,3.8,1.86,+
4.22,5.36,5.06,3.96,3.6,2.76,1.56,0.05,0.5,1.8,1.99,2.44,0.88,0.65,+
2.17,0.8,4.2,2.83,2,1.6,1.88,2.36,1.36,2.61,5.44,1.7,1.58,3.61,+
5.85,4.94,5.43,5.22,4.95,3.66,2.42,2.67,-1.05,-0.23,1.35,-0.11,1.97,1.34,+
0.91,2.44,1.49,3.39,0.77,2.25,2.69,3.16,2.45,2.28,2.77,1.78,1.28,1.39,+
0.98,0.83,3.23,2.93,2.55,2.27,1.41,2.44,1.28,1.31,2.96,1.09,1.61,1.34,+
0.66,2.26,2.6,0.59,0.4,-0.57,2.15,2.6,1.71,4.51,3.73,5.44,3.34,2.38,+
2.55,5.73,5.24,4,3.58,3.94,3.96,0.37,-1.24,1.65,0.24,0.06,1.63,0.99,+
2.53,2.45,4.03,3.73,1.01,2.72,1.1,2.45,1.43,1.47,3.29,3.89,0.37,0.04,+
0.45,0.2,-0.08,0.11,-0.2,1.6,0.14,2.79,3.39,2.83,5.97,3.4,3.43,2.12,+
1.05,1.09,2.33,0.93,0.54,1.99,2.32,4.59,2.54,4.67,5.67,2.24,2.4,3,+
2.2,1.44,4.61,3.55,2.11,1.17,2.55,1.48,1.21,4.59,2.07,1.32,2.44,1.06,+
-1.18,1.66,-1.53,-0.17,-0.34,0.96,3.91,2.36,4.47,4.98,2.55,5.39,4.79,1.35,+
3.87,2.23,4.75,4.64,3.07,0.04,0.41,0.97,2.83,0.74,1.07,1.69,1.52,0.26,+
1.24,0.84,1.69,1.39,1.15,1.17,2.17,1.41,2.17,3.27,2.04,2.61,3.02,2.24,+
2.71,4.1,3.77,4.59,1.71,1.41,1.36,1.42,2.49,-0.16,-0.28,0.64,1.68,-0.82,+
0.43,-0.22,1.15,1.39,0.31,-0.6,1.87,2.56,3.3,4.71,6.86,5.89,4.07,2.14,+
1.9,2.12,4.02,1.22,1.35,3.3,2.27,2.52,1.7,1.78,2.64,1.29,1.58,1.31,+
2.78,5.36,2.22,2.23,1.09,2.25,2.87,0.89,2,2.23,2.98,1.78,1.85,1.12,+
0.93,0.01,0.58,0.25,0.79,0.93,2.02,1.55,3.26,5.03,2.36,3.56,2.76,3.78,+
1.34,3.35,3.83,5.96,3.14,4.16,1.74,0.83,0.32,-0.31,0.76,1.82,-0.49,-0.43,+
-1.63,0.35,-2.66,0.18,2.14,0.1,2.41,5.11,2.91,3.75,5.28,5.13,3.61,3.48,+
3.1,-0.02,0.6,1.3,1.1,2.26,1.81,4.27,1.3,3.86,4.36,3.13,1.69,2.01,+
2.23,2.55,3.18,1.31,0.46,1.93,2.55,2.24,3.4,2.85,3.59,1.86,1.4,2.24,+
2.87,2.02,3.95,4.12,2.19,1.08,1.01,2.56,2.88,3.55,1.8,3.75,2.81,0.87,+
0.66,3.42,2.67,2.03,4.36,2.51,2.46,0.54,2.92,3.31,2.8,3.22,1.02,0.37,+
